,T [L = 30],SEED: 1666248275,SEED: 1666248252,SEED: 1666248257,SEED: 1666248251,SEED: 1666248276,SEED: 1666248255,SEED: 1666248277,SEED: 1666248256,SEED: 1666248254,SEED: 1666248274,SEED: 1666248253,SEED: 1666248278,Average
0,2.0,0.665291,0.665644,0.665553,0.665807,0.665742,0.665914,0.665142,0.665155,0.665371,0.665998,0.665663,0.665705,0.6655820833333334
1,2.02,0.665265,0.662956,0.665327,0.665846,0.665372,0.664996,0.665213,0.665506,0.665145,0.665324,0.662471,0.665378,0.6648999166666667
2,2.04,0.665715,0.664582,0.665211,0.664861,0.665123,0.665473,0.665296,0.665581,0.66529,0.665057,0.664927,0.664772,0.6651573333333334
3,2.06,0.663836,0.664483,0.664984,0.664228,0.664799,0.664633,0.664747,0.664421,0.657167,0.664382,0.665134,0.664778,0.6639660000000001
4,2.08,0.665214,0.664801,0.663818,0.664191,0.662155,0.663619,0.663489,0.662387,0.665641,0.661054,0.664834,0.660822,0.6635020833333334
5,2.1,0.663999,0.663424,0.663831,0.662954,0.662525,0.664788,0.664376,0.664356,0.664063,0.663004,0.665414,0.664227,0.6639134166666667
6,2.12,0.663196,0.66432,0.664224,0.66424,0.664862,0.664819,0.664428,0.663774,0.662403,0.662637,0.663853,0.660877,0.6636360833333333
7,2.14,0.664234,0.66482,0.663121,0.658663,0.660592,0.662407,0.659981,0.664808,0.662521,0.662154,0.652189,0.663115,0.6615504166666667
8,2.16,0.661998,0.655092,0.663506,0.662127,0.656228,0.600028,0.660947,0.661325,0.664617,0.649806,0.663582,0.6601,0.6549463333333333
9,2.18,0.663727,0.660049,0.662208,0.662815,0.644407,0.662354,0.658582,0.656019,0.663049,0.653763,0.662378,0.659143,0.6590411666666668
10,2.2,0.662837,0.658751,0.637604,0.664295,0.661738,0.660142,0.662149,0.660481,0.662545,0.641744,0.662052,0.661041,0.65794825
11,2.22,0.663613,0.661921,0.661538,0.65208,0.637905,0.646537,0.659926,0.660358,0.66202,0.641184,0.662629,0.662126,0.6559864166666667
12,2.24,0.641188,0.657353,0.658037,0.634253,0.649788,0.643249,0.655464,0.578827,0.657033,0.653124,0.64138,0.657022,0.6438931666666666
13,2.26,0.658509,0.658199,0.661636,0.631586,0.659917,0.656753,0.642669,0.648184,0.645205,0.660222,0.623975,0.632899,0.6483128333333333
14,2.28,0.621226,0.657094,0.64368,0.657145,0.641555,0.634859,0.511843,0.623466,0.588059,0.548612,0.652667,0.647197,0.61895025
15,2.3,0.585902,0.641751,0.649379,0.115494,0.422434,0.317303,0.649463,0.647375,0.493797,0.661316,0.612338,0.654871,0.5376185833333333
16,2.32,0.637491,0.314623,0.568878,0.624294,0.411277,0.558619,0.493762,0.608329,0.652254,0.503913,0.651392,0.411339,0.5363475833333333
17,2.34,0.471992,0.117188,0.611145,0.597885,0.555873,0.649759,0.389797,-0.089745,0.301849,0.612011,0.539579,0.541749,0.4415901666666667
18,2.36,0.254617,0.49913,0.435967,0.484173,0.64426,0.282152,0.138546,0.594606,0.077391,0.598901,0.082383,0.600476,0.3910501666666666
19,2.38,0.468523,0.510136,0.494811,0.589046,0.117546,0.547263,0.548335,0.179881,0.379459,0.294261,0.498589,0.470287,0.42484474999999994
